asama|pozisyon|emircan|celil|serhat|erdem|serdar|ekin|oguz|baris
Grup A|1|meksika|meksika|meksika|meksika|çekya|meksika|meksika|meksika
Grup A|2|güney kore|güney kore|güney kore|çekya|meksika|çekya|güney kore|güney kore
Grup A|3|çekya|güney afrika|çekya|güney afrika|güney kore|güney kore|güney afrika|çekya
Grup A|4|güney afrika|çekya|güney afrika|güney kore|güney afrika|güney afrika|çekya|güney afrika
Grup B|1|isviçre|katar|isviçre|isviçre|isviçre|isviçre|kanada|isviçre
Grup B|2|bosna|kanada|kanada|kanada|kanada|bosna|isviçre|kanada
Grup B|3|kanada|isviçre|bosna|katar|bosna|katar|bosna|bosna
Grup B|4|katar|bosna|katar|bosna|katar|kanada|katar|katar
Grup C|1|brezilya|brezilya|brezilya|brezilya|brezilya|fas|brezilya|brezilya
Grup C|2|fas|iskoçya|fas|fas|fas|iskoçya|iskoçya|fas
Grup C|3|iskoçya|fas|iskoçya|iskoçya|iskoçya|brezilya|fas|iskoçya
Grup C|4|haiti|haiti|haiti|haiti|haiti|haiti|haiti|haiti
Grup D|1|türkiye|türkiye|türkiye|türkiye|türkiye|abd|türkiye|türkiye
Grup D|2|avustralya|abd|abd|abd|abd|türkiye|abd|abd
Grup D|3|abd|avustralya|avustralya|paraguay|avustralya|paraguay|avustralya|avustralya
Grup D|4|paraguay|paraguay|paraguay|avustralya|paraguay|avustralya|paraguay|paraguay
Grup E|1|almanya|almanya|almanya|almanya|almanya|almanya|almanya|almanya
Grup E|2|ekvador|ekvador|ekvador|fildişi|fildişi|fildişi|ekvador|fildişi
Grup E|3|fildişi|curaçao|fildişi|ekvador|ekvador|ekvador|fildişi|ekvador
Grup E|4|curaçao|fildişi|curaçao|curaçao|curaçao|curaçao|curaçao|curaçao
Grup F|1|hollanda|japonya|hollanda|hollanda|hollanda|hollanda|hollanda|hollanda
Grup F|2|japonya|hollanda|japonya|japonya|isveç|isveç|japonya|japonya
Grup F|3|isveç|tunus|isveç|isveç|japonya|japonya|isveç|isveç
Grup F|4|tunus|isveç|tunus|tunus|tunus|tunus|tunus|tunus
Grup G|1|belçika|belçika|belçika|belçika|belçika|belçika|belçika|belçika
Grup G|2|mısır|yeni zelanda|mısır|mısır|mısır|yeni zelanda|mısır|mısır
Grup G|3|iran|mısır|iran|iran|iran|mısır|yeni zelanda|iran
Grup G|4|yeni zelanda|iran|yeni zelanda|yeni zelanda|yeni zelanda|iran|iran|yeni zelanda
Grup H|1|ispanya|ispanya|ispanya|ispanya|ispanya|ispanya|ispanya|ispanya
Grup H|2|uruguay|uruguay|uruguay|uruguay|uruguay|uruguay|uruguay|uruguay
Grup H|3|suudi arabistan|suudi arabistan|suudi arabistan|suudi arabistan|suudi arabistan|suudi arabistan|suudi arabistan|suudi arabistan
Grup H|4|yeşil burun|yeşil burun|yeşil burun|yeşil burun|yeşil burun|yeşil burun|yeşil burun|yeşil burun
Grup I|1|fransa|fransa|fransa|fransa|fransa|fransa|fransa|fransa
Grup I|2|norveç|norveç|senegal|norveç|norveç|norveç|norveç|norveç
Grup I|3|senegal|senegal|norveç|senegal|senegal|senegal|senegal|senegal
Grup I|4|ırak|ırak|ırak|ırak|ırak|ırak|ırak|ırak
Grup J|1|arjantin|arjantin|arjantin|arjantin|arjantin|arjantin|arjantin|arjantin
Grup J|2|avusturya|avusturya|avusturya|avusturya|cezayir|avusturya|avusturya|avusturya
Grup J|3|cezayir|cezayir|cezayir|ürdün|avusturya|cezayir|cezayir|ürdün
Grup J|4|ürdün|ürdün|ürdün|cezayir|ürdün|ürdün|ürdün|cezayir
Grup K|1|portekiz|portekiz|portekiz|portekiz|portekiz|portekiz|portekiz|portekiz
Grup K|2|kolombiya|kolombiya|kolombiya|kolombiya|kolombiya|kolombiya|kolombiya|kolombiya
